NLCD class,Mean number of non-native species,Percent of invaded plots,Mean RRNN,Mean RANN,Number of plots,mean_rumple.aop,sd_rumple.aop
Evergreen forest,1.86,0.46,0.04,0.03,197,2.93,1.23
Mixed forest,2.13,0.59,0.03,0.01,37,2.45,0.64
Deciduous forest,2.89,0.68,0.06,0.08,130,2.41,1.08
Woody wetlands,2.23,0.74,0.04,0.04,76,2.52,0.92
Shrub/scrub,2.08,0.47,0.05,0.03,51,1.61,0.65
Dwarf scrub,0,0,0,0,1,1.04,0.02
Grassland/herbaceous,5.94,0.9,0.15,0.24,25,1.25,0.17
Pasture/hay,18.25,0.75,0.24,0.16,3,1.64,1.13
