Growth Form,Family,Scientific Name,USDA Taxon ID
shrub/tree,Meliaceae,Melia azedarach L.,MEAZ
shrub/tree,Moraceae,Morus alba L.,MOAL
shrub/tree,Myrtaceae,Rhodomyrtus tomentosa (Aiton) Hassk.,RHTO10
shrub/tree,Oleaceae,Ligustrum japonicum Thunb.,LIJA
shrub/tree,Oleaceae,Ligustrum lucidum W.T. Aiton,LILU2
shrub/tree,Oleaceae,Ligustrum sinense Lour.,LISI
shrub/tree,Oleaceae,Ligustrum sp.,LIGUS2
shrub/tree,Rhamnaceae,Frangula alnus Mill.,FRAL4
shrub/tree,Rhamnaceae,Rhamnus cathartica L.,RHCA3
shrub/tree,Rhamnaceae,Rhamnus davurica Pall.,RHDA
shrub/tree,Rosaceae,Cydonia oblonga Mill.,CYOB2
shrub/tree,Rosaceae,Sorbus aucuparia L.,SOAU
shrub/tree,Rutaceae,Poncirus trifoliata (L.) Raf.,POTR4
shrub/tree,Rutaceae,Tetradium daniellii (Benn.) T.G. Hartley,TEDA
shrub/tree,Ulmaceae,Ulmus pumila L.,ULPU
subshrub,Chenopodiaceae,Salsola sp.,SALSO
subshrub,Fabaceae,Lespedeza thunbergii (DC.) Nakai,LETH4
subshrub,Rosaceae,Rosa micrantha Borrer ex Sm.,ROMI
subshrub,Rosaceae,Rosa multiflora Thunb.,ROMU
subshrub,Rosaceae,Rubus armeniacus Focke,RUAR9
subshrub,Rosaceae,Rubus idaeus L. ssp. idaeus,RUIDI
subshrub,Rosaceae,Rubus laciniatus Willd.,RULA
subshrub,Rosaceae,Rubus phoenicolasius Maxim.,RUPH
subshrub,Solanaceae,Solanum capsicoides All.,SOCA10
tree,Aceraceae,Acer platanoides L.,ACPL
tree,Arecaceae,Butia capitata (Mart.) Becc.,BUCA15
tree,Ebenaceae,Diospyros digyna Jacq.,DIDI15
tree,Euphorbiaceae,Triadica sebifera (L.) Small,TRSE6
tree,Euphorbiaceae,Vernicia fordii (Hemsl.) Airy-Shaw,VEFO
tree,Fagaceae,Quercus acutissima Carruthers,QUAC80
tree,Moraceae,Broussonetia papyrifera (L.) L'H?©r. ex Vent.,BRPA4
tree,Musaceae,Musaceae sp.,MUSACE
tree,Pinaceae,Picea abies (L.) Karst.,PIAB
tree,Rosaceae,Malus pumila Mill.,MAPU
tree,Rosaceae,Prunus avium (L.) L.,PRAV
tree,Rosaceae,Pyrus calleryana Decne.,PYCA80
tree,Rosaceae,Pyrus sp.,PYRUS
tree,Scrophulariaceae,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,PATO2
tree,Simaroubaceae,Ailanthus altissima (Mill.) Swingle,AIAL
tree,Tiliaceae,Tilia cordata Mill.,TICO2
tree,Ulmaceae,Ulmus parvifolia Jacq.,ULPA
vine,Araliaceae,Hedera helix L.,HEHE
vine,Bignoniaceae,Macfadyena unguis-cati (L.) A.H. Gentry,MAUN3
vine,Caprifoliaceae,Lonicera japonica Thunb.,LOJA
vine,Celastraceae,Celastrus orbiculatus Thunb.,CEOR7
vine,Fabaceae,Pueraria montana (Lour.) Merr.,PUMO
vine,Fabaceae,Wisteria sinensis (Sims) DC.,WISI
vine,Ranunculaceae,Clematis terniflora DC.,CLTE4
