site,plotID,subplotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,scale,invaded,turnover,nestedness,monthyear
BONA,BONA_001,plot,2018,0,0,0,1.598510865882012,0.11417934756300085,14,1.598510865882012,0.11417934756300085,14,0,0,0,1,0,0,11.3125,0,0,1,11.3125,1.598510865882012,0.11417934756300085,14,1.5177258580760216,0.13797507800691106,11,plot,not_invaded,0.7419354838709677,0.08602150537634409,2018-07
BONA,BONA_002,plot,2017,0,0,0,1.773027359407833,0.14775227995065274,12,1.773027359407833,0.14775227995065274,12,0,0,0,1,0,0,14.291666666666666,0,0,1,14.291666666666666,1.773027359407833,0.14775227995065274,12,1.3874221802793345,0.1734277725349168,8,plot,not_invaded,0.7096774193548387,0.08342602892102337,2017-08
BONA,BONA_002,plot,2018,0,0,0,1.7216672196614737,0.1434722683051228,12,1.7216672196614737,0.1434722683051228,12,0,0,0,1,0,0,14.541666666666666,0,0,1,14.541666666666666,1.7216672196614737,0.1434722683051228,12,1.2511505308027946,0.17873579011468493,7,plot,not_invaded,0.7432432432432432,0.050235017626321966,2018-07
BONA,BONA_003,plot,2017,0,0,0,2.083317350670729,0.09920558812717757,21,2.083317350670729,0.09920558812717757,21,0,0,0,1,0,0,29.4375,0,0,1,29.4375,2.083317350670729,0.09920558812717757,21,1.2028134820808318,0.09252411400621784,13,plot,not_invaded,0.59375,0.09672619047619048,2017-08
BONA,BONA_003,plot,2018,0,0,0,2.020831093410574,0.0962300520671702,21,2.020831093410574,0.0962300520671702,21,0,0,0,1,0,0,36.229166666666664,0,0,1,36.229166666666664,2.020831093410574,0.0962300520671702,21,1.2572280597929808,0.11429345998118007,11,plot,not_invaded,0.5549132947976878,0.11742713073422703,2018-07
BONA,BONA_005,plot,2017,0,0,0,1.7810692964052903,0.09894829424473835,18,1.7810692964052903,0.09894829424473835,18,0,0,0,1,0,0,55.625,0,0,1,55.625,1.7810692964052903,0.09894829424473835,18,1.495790180246291,0.11506078309586854,13,plot,not_invaded,0.7262569832402235,0.044771054142954105,2017-08
BONA,BONA_005,plot,2018,0,0,0,1.6619569154016995,0.08747141660008945,19,1.6468933281951788,0.09149407378862104,18,0,0,1,0.9971002485501244,0.0028997514498757247,0,50.145833333333336,0.14583333333333331,0,1,50.291666666666664,1.6619569154016995,0.08747141660008945,19,1.290402308608064,0.09926171604677415,13,plot,not_invaded,0.7590361445783133,0.030437539632213063,2018-07
BONA,BONA_006,plot,2018,0,0,0,2.3050615550544413,0.08537265018720153,27,2.2821786702803926,0.0912871468112157,25,0.6931471805599453,0.34657359027997264,2,0.9951749095295538,0.0048250904704463205,0,17.1875,0.08333333333333333,0,1,17.270833333333332,2.3050615550544413,0.08537265018720153,27,1.9947906717848953,0.12467441698655596,16,plot,not_invaded,0.672645739910314,0.05597879540567123,2018-07
BONA,BONA_007,plot,2017,0,0,0,1.6954428930339736,0.12110306378814097,14,1.6954428930339736,0.12110306378814097,14,0,0,0,1,0,0,9.1875,0,0,1,9.1875,1.6954428930339736,0.12110306378814097,14,1.3867726413118413,0.15408584903464903,9,plot,not_invaded,0.7297297297297297,0.050490050490050495,2017-08
BONA,BONA_007,plot,2018,0,0,0,2.1628286092496207,0.12015714495831226,18,2.1038590470389242,0.12375641453170143,17,0,0,1,0.9782766111513396,0.02172338884866039,0,8.44375,0.1875,0,1,8.63125,2.1628286092496207,0.12015714495831226,18,1.580909027372705,0.1580909027372705,10,plot,not_invaded,0.7530864197530864,0.05999769239644629,2018-07
BONA,BONA_008,plot,2017,0,0,0,2.0965603977641476,0.09529819989837035,22,2.0965603977641476,0.09529819989837035,22,0,0,0,1,0,0,11.25,0,0,1,11.25,2.0965603977641476,0.09529819989837035,22,1.6248729425964263,0.11606235304260189,14,plot,not_invaded,0.7737226277372263,0.055006654030729525,2017-08
BONA,BONA_008,plot,2018,0,0,0,1.6014115335439012,0.08007057667719505,20,1.5845187888663552,0.08339572572980818,19,0,0,1,0.9967069154774972,0.003293084522502744,0,18.916666666666668,0.0625,0,1,18.979166666666668,1.6014115335439012,0.08007057667719505,20,1.3675904068096374,0.1051992620622798,13,plot,not_invaded,0.6571428571428571,0.10984743411927879,2018-07
