Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,growth_habit,genus_name,species_name,smp_name
ACHU,MEHU5,Melampodium humile Sw.,NA,Forb/herb,Melampodium,humile,Melampodium_humile
ACHU,NA,Acanthospermum humile (Sw.) DC.,low starbur,Forb/herb,Acanthospermum,humile,Acanthospermum_humile
ACEB3,NA,Acanthus ebracteatus Vahl,acanthus,Forb/herb,Acanthus,ebracteatus,Acanthus_ebracteatus
ACEB3,ACILE,Acanthus ilicifolius L. var. ebracteatus (Vahl) Benoist,NA,Forb/herb,Acanthus,ilicifolius,Acanthus_ilicifolius
ACMO8,NA,Acanthus mollis L.,bear's breech,Forb/herb,Acanthus,mollis,Acanthus_mollis
ACAG3,NA,Achillea ageratum L.,sweet-Nancy,Forb/herb,Achillea,ageratum,Achillea_ageratum
ACAL17,NA,Achillea alpina L.,Chinese yarrow,Forb/herb,Achillea,alpina,Achillea_alpina
ACDI6,NA,Achillea distans Waldst. & Kit. ex Willd.,Alps yarrow,Forb/herb,Achillea,distans,Achillea_distans
ACDI6,ACDE10,Achillea dentifera DC.,NA,Forb/herb,Achillea,dentifera,Achillea_dentifera
ACFI,NA,Achillea filipendulina Lam.,fernleaf yarrow,Forb/herb,Achillea,filipendulina,Achillea_filipendulina
ACLI2,NA,Achillea ligustica All.,Ligurian yarrow,Forb/herb,Achillea,ligustica,Achillea_ligustica
ACMI2,NA,Achillea millefolium L.,common yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIA,NA,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,NA,Forb/herb,Achillea,alpicola,Achillea_alpicola
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,NA,Forb/herb,Achillea,lanulosa,Achillea_lanulosa
ACMIA,ACFU,Achillea fusca Rydb.,NA,Forb/herb,Achillea,fusca,Achillea_fusca
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,NA,Forb/herb,Achillea,lanulosa,Achillea_lanulosa
ACMIA,ACSU3,Achillea subalpina Greene,NA,Forb/herb,Achillea,subalpina,Achillea_subalpina
ACMIA2,ACBOA,Achillea borealis Bong. ssp. arenicola (A. Heller) D.D. Keck,NA,Forb/herb,Achillea,borealis,Achillea_borealis
ACMIA2,ACAR6,Achillea arenicola A. Heller,NA,Forb/herb,Achillea,arenicola,Achillea_arenicola
ACMIA2,NA,Achillea millefolium L. var. arenicola (A. Heller) Nobs,common yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIA2,ACMIM4,Achillea millefolium L. var. maritima Jeps.,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIA2,ACBOA2,Achillea borealis Bong. var. arenicola (A. Heller) J.T. Howell,NA,Forb/herb,Achillea,borealis,Achillea_borealis
ACMIB,ACBO,Achillea borealis Bong.,NA,Forb/herb,Achillea,borealis,Achillea_borealis
ACMIB,NA,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIB,ACMIF2,Achillea millefolium L. var. fulva B. Boivin,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIB,ACMIP4,Achillea millefolium L. var. parvula B. Boivin,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIB,ACBOT,Achillea borealis Bong. ssp. typica D.D. Keck,NA,Forb/herb,Achillea,borealis,Achillea_borealis
ACMIB,ACMIP3,Achillea millefolium L. var. parviligula B. Boivin,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIB,ACMIA3,Achillea millefolium L. ssp. atrotegula B. Boivin,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIB,ACMIB2,Achillea millefolium L. ssp. borealis (Bong.) Breitung,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIC,ACCA7,Achillea californica Pollard,NA,Forb/herb,Achillea,californica,Achillea_californica
ACMIC,NA,Achillea millefolium L. var. californica (Pollard) Jeps.,California yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIC,ACBOC,Achillea borealis Bong. ssp. californica (Pollard) D.D. Keck,NA,Forb/herb,Achillea,borealis,Achillea_borealis
ACMIC,ACBOC2,Achillea borealis Bong. var. californica (Pollard) J.T. Howell,NA,Forb/herb,Achillea,borealis,Achillea_borealis
ACMIG,NA,Achillea millefolium L. var. gigantea (Pollard) Nobs,giant yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIG,ACGI2,Achillea gigantea Pollard,NA,Forb/herb,Achillea,gigantea,Achillea_gigantea
ACMIL2,NA,Achillea millefolium L. var. litoralis Ehrend. ex Nobs,coast yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIM5,NA,Achillea millefolium L. var. megacephala (Raup) B. Boivin,common yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIM2,NA,Achillea millefolium L. var. millefolium,common yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIM2,ACMA14,Achillea magna auct.,NA,Forb/herb,Achillea,magna,Achillea_magna
ACMIN,NA,Achillea millefolium L. var. nigrescens E. Mey.,common yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIN,ACNI4,Achillea nigrescens (E. Mey.) Rydb.,NA,Forb/herb,Achillea,nigrescens,Achillea_nigrescens
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,NA,Forb/herb,Achillea,lanulosa,Achillea_lanulosa
ACMIO,NA,Achillea millefolium L. var. occidentalis DC.,western yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACER2,Achillea eradiata Piper,NA,Forb/herb,Achillea,eradiata,Achillea_eradiata
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,NA,Forb/herb,Achillea,aspleniifolia,Achillea_aspleniifolia
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACAN7,Achillea angustissima Rydb.,NA,Forb/herb,Achillea,angustissima,Achillea_angustissima
ACMIO,ACGR5,Achillea gracilis Raf.,NA,Forb/herb,Achillea,gracilis,Achillea_gracilis
