Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,growth_habit,genus_name,species_name,smp_name
LICA,NA,Ligusticum californicum J.M. Coult. & Rose,California licorice-root,Forb/herb,Ligusticum,californicum,Ligusticum_californicum
LICA16,NA,Ligusticum canadense (L.) Britton,Canadian licorice-root,Forb/herb,Ligusticum,canadense,Ligusticum_canadense
LICA2,NA,Ligusticum canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose,Canby's licorice-root,Forb/herb,Ligusticum,canbyi,Ligusticum_canbyi
LICA2,LILE6,Ligusticum leibergii J.M. Coult. & Rose,NA,Forb/herb,Ligusticum,leibergii,Ligusticum_leibergii
LICA2,LICA23,Ligusticum caeruleimontanum H. St. John,NA,Forb/herb,Ligusticum,caeruleimontanum,Ligusticum_caeruleimontanum
LIFI,NA,Ligusticum filicinum S. Watson,fernleaf licorice-root,Forb/herb,Ligusticum,filicinum,Ligusticum_filicinum
LIGR,NA,Ligusticum grayi J.M. Coult. & Rose,Gray's licorice-root,Forb/herb,Ligusticum,grayi,Ligusticum_grayi
LIPO,NA,Ligusticum porteri J.M. Coult. & Rose,Porter's licorice-root,Forb/herb,Ligusticum,porteri,Ligusticum_porteri
LIPOB,NA,Ligusticum porteri J.M. Coult. & Rose var. brevilobum (Rydb.) Mathias & Constance,Porter's licorice-root,Forb/herb,Ligusticum,porteri,Ligusticum_porteri
LIPOP,NA,Ligusticum porteri J.M. Coult. & Rose var. porteri,Porter's licorice-root,Forb/herb,Ligusticum,porteri,Ligusticum_porteri
LISC3,NA,Ligusticum scoticum L.,Scottish licorice-root,Forb/herb,Ligusticum,scoticum,Ligusticum_scoticum
LISCH,NA,Ligusticum scoticum L. ssp. hultenii (Fernald) Calder & Roy L. Taylor,Hulten's licorice-root,Forb/herb,Ligusticum,scoticum,Ligusticum_scoticum
LISCH,LIHU4,Ligusticum hultenii Fernald,NA,Forb/herb,Ligusticum,hultenii,Ligusticum_hultenii
LISCH,LISCH3,Ligusticum scoticum L. var. hultenii (Fernald) B. Boivin,NA,Forb/herb,Ligusticum,scoticum,Ligusticum_scoticum
LISCH,HAHU2,Haloscias hultenii (Fernald) Holub,NA,Forb/herb,Haloscias,hultenii,Haloscias_hultenii
LISCS2,NA,Ligusticum scoticum L. ssp. scoticum,Scottish licorice-root,Forb/herb,Ligusticum,scoticum,Ligusticum_scoticum
LITE2,LIFIT,Ligusticum filicinum S. Watson var. tenuifolium (S. Watson) Mathias & Constance,NA,Forb/herb,Ligusticum,filicinum,Ligusticum_filicinum
LITE2,NA,Ligusticum tenuifolium S. Watson,Idaho licorice-root,Forb/herb,Ligusticum,tenuifolium,Ligusticum_tenuifolium
LIVE,NA,Ligusticum verticillatum (Hook.) J.M. Coult. & Rose ex Rose,northern licorice-root,Forb/herb,Ligusticum,verticillatum,Ligusticum_verticillatum
LICA31,NA,Lilaeopsis carolinensis J.M. Coult. & Rose,Carolina grasswort,Forb/herb,Lilaeopsis,carolinensis,Lilaeopsis_carolinensis
LICA31,LIAT,Lilaeopsis attenuata auct. non (Hook. & Arn.) Fernald,NA,Forb/herb,Lilaeopsis,attenuata,Lilaeopsis_attenuata
LICH,LILI7,Lilaeopsis lineata (Michx.) Greene,NA,Forb/herb,Lilaeopsis,lineata,Lilaeopsis_lineata
LICH,NA,Lilaeopsis chinensis (L.) Kuntze,eastern grasswort,Forb/herb,Lilaeopsis,chinensis,Lilaeopsis_chinensis
LIMA7,NA,Lilaeopsis masonii Mathias & Constance,mudflat quillplant,Forb/herb,Lilaeopsis,masonii,Lilaeopsis_masonii
LIOC,NA,Lilaeopsis occidentalis J.M. Coult. & Rose,western grasswort,Forb/herb,Lilaeopsis,occidentalis,Lilaeopsis_occidentalis
LISC7,NA,Lilaeopsis schaffneriana (Schltdl.) J.M. Coult. & Rose,Schaffner's grasswort,Forb/herb,Lilaeopsis,schaffneriana,Lilaeopsis_schaffneriana
LISCR,LIRE,Lilaeopsis recurva A.W. Hill,NA,Forb/herb,Lilaeopsis,recurva,Lilaeopsis_recurva
LISCR,NA,Lilaeopsis schaffneriana (Schltdl.) J.M. Coult. & Rose var. recurva (A.W. Hill) Affolter,Schaffner's grasswort,Forb/herb,Lilaeopsis,schaffneriana,Lilaeopsis_schaffneriana
LIBO,NA,Lilium bolanderi S. Watson,Bolander's lily,Forb/herb,Lilium,bolanderi,Lilium_bolanderi
LIBU,NA,Lilium bulbiferum L.,orange lily,Forb/herb,Lilium,bulbiferum,Lilium_bulbiferum
LICA3,NA,Lilium canadense L.,Canada lily,Forb/herb,Lilium,canadense,Lilium_canadense
LICAC,NA,Lilium canadense L. ssp. canadense,Canada lily,Forb/herb,Lilium,canadense,Lilium_canadense
LICAE,LICAE2,Lilium canadense L. var. editorum Fernald,NA,Forb/herb,Lilium,canadense,Lilium_canadense
LICAE,LICAR2,Lilium canadense L. var. rubrum hort. ex T. Moore,NA,Forb/herb,Lilium,canadense,Lilium_canadense
LICAE,NA,Lilium canadense L. ssp. editorum (Fernald) Wherry,Canada lily,Forb/herb,Lilium,canadense,Lilium_canadense
LICA22,NA,Lilium candidum L.,Madonna lily,Forb/herb,Lilium,candidum,Lilium_candidum
LICA4,NA,Lilium catesbaei Walter,pine lily,Forb/herb,Lilium,catesbaei,Lilium_catesbaei
LICAA,NA,Lilium catesbaei Walter ssp. asperellum Wherry,pine lily,Forb/herb,Lilium,catesbaei,Lilium_catesbaei
LICAC2,NA,Lilium catesbaei Walter ssp. catesbaei,pine lily,Forb/herb,Lilium,catesbaei,Lilium_catesbaei
LICAC2,LICAL,Lilium catesbaei Walter var. longii Fernald,NA,Forb/herb,Lilium,catesbaei,Lilium_catesbaei
LICO,LICAP,Lilium canadense L. var. parviflorum Hook.,NA,Forb/herb,Lilium,canadense,Lilium_canadense
LICO,NA,Lilium columbianum Leichtlin,Columbia lily,Forb/herb,Lilium,columbianum,Lilium_columbianum
LIFO2,NA,Lilium formosanum A. Wallace,Formosa lily,Forb/herb,Lilium,formosanum,Lilium_formosanum
LIGR2,NA,Lilium grayi S. Watson,Gray's lily,Forb/herb,Lilium,grayi,Lilium_grayi
LIHU,NA,Lilium humboldtii Roezl & Leichtlin ex Duch.,Humboldt lily,Forb/herb,Lilium,humboldtii,Lilium_humboldtii
LIHUH,NA,Lilium humboldtii Roezl & Leichtlin ex Duch. ssp. humboldtii,Humboldt's lily,Forb/herb,Lilium,humboldtii,Lilium_humboldtii
LIHUO2,LIFA4,Lilium fairchildii M.E. Jones,NA,Forb/herb,Lilium,fairchildii,Lilium_fairchildii
LIHUO2,LIHUB,Lilium humboldtii Roezl & Leichtlin ex Duch. var. bloomerianum (Kellogg) Jeps.,NA,Forb/herb,Lilium,humboldtii,Lilium_humboldtii
LIHUO2,NA,Lilium humboldtii Roezl & Leichtlin ex Duch. ssp. ocellatum (Kellogg) Thorne,Humboldt's lily,Forb/herb,Lilium,humboldtii,Lilium_humboldtii
LIHUO2,LIHUO,Lilium humboldtii Roezl & Leichtlin ex Duch. var. ocellatum (Kellogg) Kellogg ex Elwes,NA,Forb/herb,Lilium,humboldtii,Lilium_humboldtii
LIIR,NA,Lilium iridollae Henry,panhandle lily,Forb/herb,Lilium,iridollae,Lilium_iridollae
LIKE,NA,Lilium kelleyanum Lemmon,Kelley's lily,Forb/herb,Lilium,kelleyanum,Lilium_kelleyanum
LIKE,LINES2,Lilium nevadense Eastw. var. shastense,NA,Forb/herb,Lilium,nevadense,Lilium_nevadense
LIKE,LIFR5,Lilium fresnense (Eastw.) Eastw.,NA,Forb/herb,Lilium,fresnense,Lilium_fresnense
LIKE,LINE7,Lilium nevadense Eastw.,NA,Forb/herb,Lilium,nevadense,Lilium_nevadense
LIKE2,NA,Lilium kelloggii Purdy,Kellogg's lily,Forb/herb,Lilium,kelloggii,Lilium_kelloggii
LILA8,NA,Lilium lancifolium Thunb.,tiger lily,Forb/herb,Lilium,lancifolium,Lilium_lancifolium
LILA8,LITI,Lilium tigrinum Ker Gawl.,NA,Forb/herb,Lilium,tigrinum,Lilium_tigrinum
LILO3,NA,Lilium longiflorum Thunb.,Easter lily,Forb/herb,Lilium,longiflorum,Lilium_longiflorum
LIMA,NA,Lilium maritimum Kellogg,coast lily,Forb/herb,Lilium,maritimum,Lilium_maritimum
LIMA8,NA,Lilium martagon L.,martagon lily,Forb/herb,Lilium,martagon,Lilium_martagon
LIMI,LICA25,"Lilium carolinianum Michx., non Bosc ex Lam.",NA,Forb/herb,Lilium,carolinianum,Lilium_carolinianum
LIMI,NA,Lilium michauxii Poir.,Carolina lily,Forb/herb,Lilium,michauxii,Lilium_michauxii
LIMI,LISUC,Lilium superbum L. var. carolinianum (Michx.) Chapm.,NA,Forb/herb,Lilium,superbum,Lilium_superbum
LIMI,LIFO3,Lilium fortunofulgidum Roane & Henry,NA,Forb/herb,Lilium,fortunofulgidum,Lilium_fortunofulgidum
LIMI9,LICAU,Lilium canadense L. var. umbelliferum (Farw.) B. Boivin,NA,Forb/herb,Lilium,canadense,Lilium_canadense
LIMI9,NA,Lilium michiganense Farw.,Michigan lily,Forb/herb,Lilium,michiganense,Lilium_michiganense
LIMI9,LIMIU,Lilium michiganense Farw. var. uniflorum,NA,Forb/herb,Lilium,michiganense,Lilium_michiganense
LIMI9,LICAM,Lilium canadense L. ssp. michiganense (Farw.) B. Boivin & Cody,NA,Forb/herb,Lilium,canadense,Lilium_canadense
LIOC2,NA,Lilium occidentale Purdy,western lily,Forb/herb,Lilium,occidentale,Lilium_occidentale
LIPA,NA,Lilium pardalinum Kellogg,leopard lily,Forb/herb,Lilium,pardalinum,Lilium_pardalinum
LIPAP2,NA,Lilium pardalinum Kellogg ssp. pardalinum,leopard lily,Forb/herb,Lilium,pardalinum,Lilium_pardalinum
LIPAP5,NA,Lilium pardalinum Kellogg ssp. pitkinense (Beane & Vollmer) M.W. Skinner,Pitkin Marsh lily,Forb/herb,Lilium,pardalinum,Lilium_pardalinum
LIPAP5,LIPI,Lilium pitkinense Beane & Vollmer,NA,Forb/herb,Lilium,pitkinense,Lilium_pitkinense
LIPAS,NA,Lilium pardalinum Kellogg ssp. shastense (Eastw.) M.W. Skinner,Shasta lily,Forb/herb,Lilium,pardalinum,Lilium_pardalinum
LIPAV,NA,Lilium pardalinum Kellogg ssp. vollmeri (Eastw.) M.W. Skinner,Vollmer's lily,Forb/herb,Lilium,pardalinum,Lilium_pardalinum
LIPAV,LIVO,Lilium vollmeri Eastw.,NA,Forb/herb,Lilium,vollmeri,Lilium_vollmeri
LIPAW2,NA,Lilium pardalinum Kellogg ssp. wigginsii (Beane & Vollmer) M.W. Skinner,Wiggins' lily,Forb/herb,Lilium,pardalinum,Lilium_pardalinum
LIPAW2,LIWI,Lilium wigginsii Beane & Vollmer,NA,Forb/herb,Lilium,wigginsii,Lilium_wigginsii
LIPA2,NA,Lilium parryi S. Watson,lemon lily,Forb/herb,Lilium,parryi,Lilium_parryi
LIPA2,LIPAK,Lilium parryi S. Watson var. kessleri Davidson,NA,Forb/herb,Lilium,parryi,Lilium_parryi
LIPA3,NA,Lilium parvum Kellogg,Sierra tiger lily,Forb/herb,Lilium,parvum,Lilium_parvum
LIPH,NA,Lilium philadelphicum L.,wood lily,Forb/herb,Lilium,philadelphicum,Lilium_philadelphicum
LIPHA,NA,Lilium philadelphicum L. var. andinum (Nutt.) Ker Gawl.,wood lily,Forb/herb,Lilium,philadelphicum,Lilium_philadelphicum
LIPHA,LIMO6,Lilium montanum A. Nelson,NA,Forb/herb,Lilium,montanum,Lilium_montanum
LIPHA,LIAN7,Lilium andinum Nutt.,NA,Forb/herb,Lilium,andinum,Lilium_andinum
LIPHA,LIUM2,Lilium umbellatum Pursh,NA,Forb/herb,Lilium,umbellatum,Lilium_umbellatum
LIPHA,LIPHM,Lilium philadelphicum L. var. montanum (A. Nelson) Wherry,NA,Forb/herb,Lilium,philadelphicum,Lilium_philadelphicum
LIPHP,NA,Lilium philadelphicum L. var. philadelphicum,wood lily,Forb/herb,Lilium,philadelphicum,Lilium_philadelphicum
LIPH4,NA,Lilium philippinense Baker,Philippine lily,Forb/herb,Lilium,philippinense,Lilium_philippinense
LIPS,NA,Lilium ×pseudograyi Grove (pro sp.) [canadense × grayi],lily,Forb/herb,Lilium,×pseudograyi,Lilium_×pseudograyi
LIPY5,NA,Lilium pyrophilum M.W. Skinner & Sorrie,Sandhills lily,Forb/herb,Lilium,pyrophilum,Lilium_pyrophilum
LIRE6,NA,Lilium regale E.H. Wilson,regal lily,Forb/herb,Lilium,regale,Lilium_regale
LIRU,NA,Lilium rubescens S. Watson,redwood lily,Forb/herb,Lilium,rubescens,Lilium_rubescens
LISU,LICAS2,Lilium canadense L. ssp. superbum (L.) B. Boivin & Cody,NA,Forb/herb,Lilium,canadense,Lilium_canadense
LISU,NA,Lilium superbum L.,turk's-cap lily,Forb/herb,Lilium,superbum,Lilium_superbum
LISU,LIMA12,Lilium mary-henryae Roane & Henry,NA,Forb/herb,Lilium,mary-henryae,Lilium_mary-henryae
LISU,LIGA3,Lilium gazarubrum Roane & Henry,NA,Forb/herb,Lilium,gazarubrum,Lilium_gazarubrum
LISU,LICAS3,"Lilium canadense L. ssp. superbum (L.) Baker, nom. illeg.",NA,Forb/herb,Lilium,canadense,Lilium_canadense
LIWA,NA,Lilium washingtonianum Kellogg,Washington lily,Forb/herb,Lilium,washingtonianum,Lilium_washingtonianum
LIWAP2,NA,Lilium washingtonianum Kellogg ssp. purpurascens (Stearn) M.W. Skinner,Cascade lily,Forb/herb,Lilium,washingtonianum,Lilium_washingtonianum
LIWAP2,LIWAP,Lilium washingtonianum Kellogg var. purpurascens Stearn,NA,Forb/herb,Lilium,washingtonianum,Lilium_washingtonianum
LIWAW2,NA,Lilium washingtonianum Kellogg ssp. washingtonianum,Washington lily,Forb/herb,Lilium,washingtonianum,Lilium_washingtonianum
LIWAW2,LIWAW,Lilium washingtonianum Kellogg var. washingtonianum,NA,Forb/herb,Lilium,washingtonianum,Lilium_washingtonianum
LIWAW2,LIWAM,"Lilium washingtonianum Kellogg var. minus Purdy, orth. var.",NA,Forb/herb,Lilium,washingtonianum,Lilium_washingtonianum
LIWAW2,LIWAM2,Lilium washingtonianum Kellogg var. minor Purdy,NA,Forb/herb,Lilium,washingtonianum,Lilium_washingtonianum
LIAL3,NA,Limnanthes alba Hartw. ex Benth.,white meadowfoam,Forb/herb,Limnanthes,alba,Limnanthes_alba
LIALA,NA,Limnanthes alba Hartw. ex Benth. ssp. alba,white meadowfoam,Forb/herb,Limnanthes,alba,Limnanthes_alba
LIALV2,NA,Limnanthes alba Hartw. ex Benth. ssp. versicolor (Greene) C.T. Mason,white meadowfoam,Forb/herb,Limnanthes,alba,Limnanthes_alba
LIALV2,FLVE,Floerkea versicolor Greene,NA,Forb/herb,Floerkea,versicolor,Floerkea_versicolor
LIALV2,LIALV,Limnanthes alba Hartw. ex Benth. var. versicolor (Greene) C.T. Mason,NA,Forb/herb,Limnanthes,alba,Limnanthes_alba
LIALV2,LIVE8,Limnanthes versicolor (Greene) Rydb.,NA,Forb/herb,Limnanthes,versicolor,Limnanthes_versicolor
LIBA2,NA,Limnanthes bakeri J.T. Howell,Baker's meadowfoam,Forb/herb,Limnanthes,bakeri,Limnanthes_bakeri
LIDO2,NA,Limnanthes douglasii R. Br.,Douglas' meadowfoam,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDOD,NA,Limnanthes douglasii R. Br. ssp. douglasii,Douglas' meadowfoam,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDOD,LIHO4,Limnanthes howelliana Abrams,NA,Forb/herb,Limnanthes,howelliana,Limnanthes_howelliana
LIDON2,NA,Limnanthes douglasii R. Br. ssp. nivea (C.T. Mason) C.T. Mason,Douglas' meadowfoam,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDON2,LIDON,Limnanthes douglasii R. Br. var. nivea C.T. Mason,NA,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDOO,NA,Limnanthes douglasii R. Br. ssp. ornduffii E.G. Buxton,Ornduff's meadowfoam,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDOR2,NA,Limnanthes douglasii R. Br. ssp. rosea (Hartw. ex Benth.) C.T. Mason,Douglas' meadowfoam,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDOR2,LIDOR,Limnanthes douglasii R. Br. var. rosea (Hartw. ex Benth.) C.T. Mason,NA,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDOR2,LIRO2,Limnanthes rosea Hartw. ex Benth.,NA,Forb/herb,Limnanthes,rosea,Limnanthes_rosea
LIDOS2,LIDOS,Limnanthes douglasii R. Br. var. sulphurea C.T. Mason,NA,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIDOS2,NA,Limnanthes douglasii R. Br. ssp. sulphurea (C.T. Mason) C.T. Mason,Douglas' meadowfoam,Forb/herb,Limnanthes,douglasii,Limnanthes_douglasii
LIFL2,NA,Limnanthes floccosa Howell,woolly meadowfoam,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIFLB,LIFLB3,Limnanthes floccosa Howell var. bellingeriana (M. Peck) C.T. Mason,NA,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIFLB,LIBE4,Limnanthes bellingeriana M. Peck,NA,Forb/herb,Limnanthes,bellingeriana,Limnanthes_bellingeriana
LIFLB,NA,Limnanthes floccosa Howell ssp. bellingeriana (M. Peck) Arroyo,woolly meadowfoam,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIFLC2,NA,Limnanthes floccosa Howell ssp. californica Arroyo,California meadowfoam,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIFLF,NA,Limnanthes floccosa Howell ssp. floccosa,woolly meadowfoam,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIGR7,NA,Limnanthes gracilis Howell,slender meadowfoam,Forb/herb,Limnanthes,gracilis,Limnanthes_gracilis
LIGRG2,NA,Limnanthes gracilis Howell ssp. gracilis,slender meadowfoam,Forb/herb,Limnanthes,gracilis,Limnanthes_gracilis
LIGRP2,LIGRP,Limnanthes gracilis Howell var. parishii (Jeps.) C.T. Mason,NA,Forb/herb,Limnanthes,gracilis,Limnanthes_gracilis
LIGRP2,NA,Limnanthes gracilis Howell ssp. parishii (Jeps.) R.M. Beauch.,Parish's slender meadowfoam,Forb/herb,Limnanthes,gracilis,Limnanthes_gracilis
LIGRP2,LIVEP,Limnanthes versicolor (Greene) Rydb. var. parishii Jeps.,NA,Forb/herb,Limnanthes,versicolor,Limnanthes_versicolor
LIMA20,NA,Limnanthes macounii Trel.,Macoun's meadowfoam,Forb/herb,Limnanthes,macounii,Limnanthes_macounii
LIMO2,NA,Limnanthes montana Jeps.,mountain meadowfoam,Forb/herb,Limnanthes,montana,Limnanthes_montana
LIPU8,NA,Limnanthes pumila Howell,woolly meadowfoam,Forb/herb,Limnanthes,pumila,Limnanthes_pumila
LIPU8,LIFLP,Limnanthes floccosa Howell var. pumila (Howell) C.T. Mason,NA,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIPU8,LIFLP2,Limnanthes floccosa Howell ssp. pumila (Howell) Arroyo,NA,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIPUG,LIFLG,Limnanthes floccosa Howell ssp. grandiflora Arroyo,NA,Forb/herb,Limnanthes,floccosa,Limnanthes_floccosa
LIPUG,NA,Limnanthes pumila Howell ssp. grandiflora (Arroyo) S.C. Meyers & K.L. Chambers,woolly meadowfoam,Forb/herb,Limnanthes,pumila,Limnanthes_pumila
LIPUP2,NA,Limnanthes pumila Howell ssp. pumila,woolly meadowfoam,Forb/herb,Limnanthes,pumila,Limnanthes_pumila
LIST5,NA,Limnanthes striata Jeps.,foothill meadowfoam,Forb/herb,Limnanthes,striata,Limnanthes_striata
LIVI3,NA,Limnanthes vinculans Ornduff,Sebastopol meadowfoam,Forb/herb,Limnanthes,vinculans,Limnanthes_vinculans
LILA7,HYST,Hydromystria stolonifera G. Mey.,NA,Forb/herb,Hydromystria,stolonifera,Hydromystria_stolonifera
LILA7,HYLA11,Hydromystria laevigata (Humb. & Bonpl. ex Willd.) Hunziker,NA,Forb/herb,Hydromystria,laevigata,Hydromystria_laevigata
LILA7,LIST4,Limnobium stoloniferum (G. Mey.) Griseb.,NA,Forb/herb,Limnobium,stoloniferum,Limnobium_stoloniferum
LILA7,NA,Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine,West Indian spongeplant,Forb/herb,Limnobium,laevigatum,Limnobium_laevigatum
LILA7,SALA14,Salvinia laevigata Humb. & Bonpl. ex Willd.,NA,Forb/herb,Salvinia,laevigata,Salvinia_laevigata
LILA7,LISPL,Limnobium spongia (Bosc) Rich. ex Steud. ssp. laevigatum (Humb. & Bonpl. ex Willd.) Lowden,NA,Forb/herb,Limnobium,spongia,Limnobium_spongia
LISP2,NA,Limnobium spongia (Bosc) Rich. ex Steud.,American spongeplant,Forb/herb,Limnobium,spongia,Limnobium_spongia
LISP2,HYCO12,Hydrocharis cordifolia Nutt.,NA,Forb/herb,Hydrocharis,cordifolia,Hydrocharis_cordifolia
LISP2,HYSP6,Hydrocharis spongia Bosc,NA,Forb/herb,Hydrocharis,spongia,Hydrocharis_spongia
LIAR11,NA,Limnophila aromatica (Lam.) Merr.,limnophila,Forb/herb,Limnophila,aromatica,Limnophila_aromatica
LIAR11,LICH7,Limnophila chinensis (Osbeck) Merr.,NA,Forb/herb,Limnophila,chinensis,Limnophila_chinensis
LIAR11,LICHA,Limnophila chinensis (Osbeck) Merr. ssp. aromatica (Lam.) T. Yamaz.,NA,Forb/herb,Limnophila,chinensis,Limnophila_chinensis
LIFRB,NA,Limnophila fragrans (G. Forst.) Seem. var. brevis Schltr.,ulekelakel,Forb/herb,Limnophila,fragrans,Limnophila_fragrans
LIIN5,NA,Limnophila indica (L.) Druce,Indian marshweed,Forb/herb,Limnophila,indica,Limnophila_indica
LIIN5,HOIN4,Hottonia indica L.,NA,Forb/herb,Hottonia,indica,Hottonia_indica
LIINI,NA,Limnophila indica (L.) Druce var. indica,Indian marshweed,Forb/herb,Limnophila,indica,Limnophila_indica
LIINR,NA,Limnophila indica (L.) Druce var. raymundi Schltr.,ulekelakel,Forb/herb,Limnophila,indica,Limnophila_indica
LILU3,NA,Limnophila ×ludoviciana Thieret [indica × sessiliflora],marshweed,Forb/herb,Limnophila,×ludoviciana,Limnophila_×ludoviciana
LISE3,NA,Limnophila sessiliflora (Vahl) Blume,Asian marshweed,Forb/herb,Limnophila,sessiliflora,Limnophila_sessiliflora
LIPI2,NA,Limnosciadium pinnatum (DC.) Mathias & Constance,tansy dogshade,Forb/herb,Limnosciadium,pinnatum,Limnosciadium_pinnatum
LIPI2,CYPI6,Cynosciadium pinnatum DC.,NA,Forb/herb,Cynosciadium,pinnatum,Cynosciadium_pinnatum
LIPU2,NA,Limnosciadium pumilum (Engelm. & A. Gray) Mathias & Constance,prairie dogshade,Forb/herb,Limnosciadium,pumilum,Limnosciadium_pumilum
LIBI4,NA,Limonium binervosum (G.E. Sm.) C.E. Salmon,rock sea-lavender,Forb/herb,Limonium,binervosum,Limonium_binervosum
LICA5,LIME6,Limonium mexicanum S.F. Blake,NA,Forb/herb,Limonium,mexicanum,Limonium_mexicanum
LICA5,NA,Limonium californicum (Boiss.) A. Heller,marsh rosemary,Forb/herb,Limonium,californicum,Limonium_californicum
LICA5,LICAM2,Limonium californicum (Boiss.) A. Heller var. mexicanum (S.F. Blake) Munz,NA,Forb/herb,Limonium,californicum,Limonium_californicum
LICA17,LIAN9,Limonium angustatum (A. Gray) Small,NA,Forb/herb,Limonium,angustatum,Limonium_angustatum
LICA17,LICAO,Limonium carolinianum (Walter) Britton var. obtusilobum (S.F. Blake) H.E. Ahles,NA,Forb/herb,Limonium,carolinianum,Limonium_carolinianum
LICA17,NA,Limonium carolinianum (Walter) Britton,lavender thrift,Forb/herb,Limonium,carolinianum,Limonium_carolinianum
LICA17,LICAN2,Limonium carolinianum (Walter) Britton var. nashii (Small) B. Boivin,NA,Forb/herb,Limonium,carolinianum,Limonium_carolinianum
LICA17,LICAC4,Limonium carolinianum (Walter) Britton var. compactum Shinners,NA,Forb/herb,Limonium,carolinianum,Limonium_carolinianum
LICA17,LINA,Limonium nashii Small,NA,Forb/herb,Limonium,nashii,Limonium_nashii
LICA17,LICAA2,Limonium carolinianum (Walter) Britton var. angustatum (A. Gray) S.F. Blake,NA,Forb/herb,Limonium,carolinianum,Limonium_carolinianum
LICA17,LINAA,Limonium nashii Small var. angustatum (A. Gray) H.E. Ahles,NA,Forb/herb,Limonium,nashii,Limonium_nashii
LICA17,LINAT,Limonium nashii Small var. trichogonum (S.F. Blake) S.F. Blake,NA,Forb/herb,Limonium,nashii,Limonium_nashii
LICA17,LINAA2,Limonium nashii Small var. albiflorum (Raf.) House,NA,Forb/herb,Limonium,nashii,Limonium_nashii
LICA17,LICAA3,Limonium carolinianum (Walter) Britton var. angustifolium S.F. Blake,NA,Forb/herb,Limonium,carolinianum,Limonium_carolinianum
LICA17,LITR8,Limonium trichogonum S.F. Blake,NA,Forb/herb,Limonium,trichogonum,Limonium_trichogonum
LICA17,LIOB3,Limonium obtusilobum S.F. Blake,NA,Forb/herb,Limonium,obtusilobum,Limonium_obtusilobum
LICA17,LICAT3,Limonium carolinianum (Walter) Britton var. trichogonum (S.F. Blake) B. Boivin,NA,Forb/herb,Limonium,carolinianum,Limonium_carolinianum
LILE8,NA,Limonium leptostachyum (Boiss.) Kuntz,statice,Forb/herb,Limonium,leptostachyum,Limonium_leptostachyum
LILI4,LILIG,Limonium limbatum Small var. glabrescens Correll,NA,Forb/herb,Limonium,limbatum,Limonium_limbatum
LILI4,NA,Limonium limbatum Small,Trans-Pecos sea lavender,Forb/herb,Limonium,limbatum,Limonium_limbatum
LIOT,NA,Limonium otolepis (Schrenk) Kuntze,saltmarsh sea lavender,Forb/herb,Limonium,otolepis,Limonium_otolepis
LIPE,STPE6,Statice perezii Stapf,NA,Forb/herb,Statice,perezii,Statice_perezii
LIPE,NA,Limonium perezii (Stapf) F.T. Hubbard,Perez's sea lavender,Forb/herb,Limonium,perezii,Limonium_perezii
LIRA2,NA,Limonium ramosissimum (Poir.) Maire,Algerian sea lavender,Forb/herb,Limonium,ramosissimum,Limonium_ramosissimum
LIRAP,NA,Limonium ramosissimum (Poir.) Maire ssp. provinciale (Pign.) Pign.,Algerian sea lavender,Forb/herb,Limonium,ramosissimum,Limonium_ramosissimum
LISI2,STSI6,Statice sinuata L.,NA,Forb/herb,Statice,sinuata,Statice_sinuata
LISI2,NA,Limonium sinuatum (L.) Mill.,wavyleaf sea lavender,Forb/herb,Limonium,sinuatum,Limonium_sinuatum
LIVU3,NA,Limonium vulgare Mill.,Mediterranean sea lavender,Forb/herb,Limonium,vulgare,Limonium_vulgare
LIVU3,STLI8,Statice limonium L.,NA,Forb/herb,Statice,limonium,Statice_limonium
LIAC2,NA,Limosella acaulis Sessé & Moc.,Owyhee mudwort,Forb/herb,Limosella,acaulis,Limosella_acaulis
LIAQ,NA,Limosella aquatica L.,water mudwort,Forb/herb,Limosella,aquatica,Limosella_aquatica
LIAU6,NA,Limosella australis R. Br.,Welsh mudwort,Forb/herb,Limosella,australis,Limosella_australis
LIAU6,LIAQT,Limosella aquatica L. var. tenuifolia Hoffm.,NA,Forb/herb,Limosella,aquatica,Limosella_aquatica
LIAU6,LISU2,Limosella subulata Ives,NA,Forb/herb,Limosella,subulata,Limosella_subulata
LIPU5,NA,Limosella pubiflora Pennell,Chiricahua Mountain mudwort,Forb/herb,Limosella,pubiflora,Limosella_pubiflora
